# Undirected graph (each unordered pair of nodes is saved once): SW-2D_16_1_PL.txt
# Nodes: 256 Edges: 1597
# NodeId	NodeId
0	1
0	2
0	3
0	15
0	16
0	65
0	84
0	176
0	240
1	2
1	3
1	12
1	14
1	16
1	17
1	194
1	206
1	225
1	226
1	240
1	241
1	243
2	3
2	18
2	46
2	70
2	96
2	156
2	176
2	209
2	214
2	221
2	227
2	241
2	242
3	4
3	18
3	19
3	20
3	21
3	35
3	43
3	51
3	52
3	66
3	67
3	83
3	98
3	104
3	141
3	145
3	148
3	198
3	211
3	226
3	227
3	229
3	240
3	243
3	244
3	249
4	5
4	17
4	20
4	21
4	50
4	213
4	244
4	245
4	250
5	6
5	14
5	21
5	43
5	64
5	142
5	171
5	227
5	245
5	247
6	7
6	9
6	18
6	22
6	55
6	246
6	249
7	8
7	9
7	10
7	17
7	22
7	23
7	39
7	50
7	55
7	72
7	90
7	91
7	244
7	245
7	247
8	9
8	24
8	72
8	156
8	215
8	248
8	249
8	254
9	10
9	25
9	27
9	46
9	204
9	248
9	249
9	252
10	11
10	12
10	13
10	19
10	24
10	26
10	27
10	28
10	45
10	47
10	64
10	74
10	76
10	86
10	92
10	105
10	106
10	138
10	154
10	171
10	181
10	202
10	203
10	215
10	229
10	234
10	236
10	237
10	247
10	248
10	249
10	250
10	252
10	253
11	12
11	13
11	15
11	26
11	27
11	43
11	60
11	87
11	204
11	224
11	233
11	240
11	249
11	251
11	252
12	13
12	26
12	28
12	42
12	76
12	204
12	245
12	252
13	14
13	18
13	19
13	27
13	29
13	46
13	61
13	77
13	179
13	186
13	221
13	249
13	251
13	252
13	253
13	254
14	15
14	30
14	204
14	218
14	240
14	250
14	253
14	254
15	18
15	31
15	55
15	89
15	124
15	162
15	240
15	252
15	255
16	17
16	31
16	32
16	37
16	50
16	58
17	18
17	33
17	46
17	52
17	63
17	94
17	210
18	19
18	21
18	33
18	34
18	37
18	43
18	46
18	48
18	50
18	52
18	59
18	66
18	83
18	106
18	109
18	116
18	126
18	131
18	160
18	182
18	184
18	197
18	224
18	242
19	20
19	21
19	35
19	40
19	50
19	63
19	65
19	143
19	243
19	254
20	21
20	28
20	36
20	37
20	84
20	214
21	22
21	25
21	28
21	31
21	35
21	36
21	37
21	39
21	42
21	50
21	51
21	55
21	67
21	74
21	86
21	88
21	95
21	116
21	117
21	122
21	199
21	214
21	243
21	250
22	23
22	38
22	234
22	250
23	24
23	39
24	25
24	27
24	38
24	40
24	69
24	249
25	26
25	27
25	41
25	158
25	245
25	249
26	27
26	39
26	41
26	42
26	44
26	45
26	122
26	167
26	203
26	247
26	250
27	28
27	42
27	43
27	44
27	86
27	225
28	29
28	42
28	43
28	44
28	46
28	54
28	56
28	60
28	61
28	90
28	96
28	107
28	110
28	150
28	204
28	220
28	221
28	233
28	235
28	237
28	250
28	251
28	252
29	30
29	31
29	45
29	61
29	71
29	96
29	122
29	235
29	251
29	254
30	31
30	46
30	143
30	223
30	254
31	33
31	43
31	45
31	46
31	47
31	54
31	63
31	77
31	147
31	175
31	219
31	223
31	240
32	33
32	46
32	47
32	48
33	34
33	43
33	49
33	50
33	65
34	35
34	46
34	50
34	51
34	65
34	84
35	36
35	37
35	51
35	55
35	83
35	211
36	37
36	38
36	51
36	52
36	138
36	139
36	248
37	38
37	39
37	43
37	51
37	53
37	55
37	57
37	68
37	100
37	120
37	245
38	39
38	50
38	54
38	55
38	63
38	70
38	85
38	182
39	40
39	55
39	67
39	223
40	41
40	55
40	56
40	90
40	234
41	42
41	50
41	57
41	59
41	103
41	105
41	215
42	43
42	45
42	58
42	86
42	90
42	234
42	249
43	44
43	45
43	48
43	49
43	59
43	76
43	89
43	91
43	98
43	122
43	179
43	219
43	234
43	235
43	250
43	254
44	45
44	60
44	76
44	106
44	120
45	46
45	61
45	82
45	122
45	130
45	221
45	240
46	47
46	62
46	63
46	64
46	88
46	112
46	122
46	141
46	154
46	191
46	238
46	239
46	254
47	63
47	76
47	77
47	254
48	49
48	63
48	64
48	65
48	143
49	50
49	63
49	65
49	81
49	83
49	84
49	120
49	155
50	51
50	52
50	61
50	64
50	65
50	66
50	77
50	81
50	83
50	92
50	96
50	100
50	126
50	129
50	221
50	229
50	232
51	52
51	53
51	63
51	66
51	67
51	224
52	53
52	55
52	67
52	68
52	71
52	89
52	99
52	115
52	131
52	213
52	215
53	54
53	68
53	69
53	113
53	120
54	55
54	70
54	71
54	117
54	200
55	56
55	57
55	59
55	66
55	69
55	71
55	72
55	73
55	85
55	150
55	156
55	196
55	214
55	220
55	248
56	57
56	72
56	73
56	75
56	120
57	58
57	73
57	87
57	92
57	170
58	59
58	72
58	74
58	89
58	90
58	107
58	235
58	248
59	60
59	75
59	76
59	138
59	149
60	61
60	65
60	76
60	81
60	124
60	150
61	62
61	76
61	77
62	63
62	78
62	110
62	243
62	255
63	64
63	66
63	78
63	79
63	80
63	113
63	127
63	131
63	159
63	227
64	65
64	72
64	79
64	80
64	131
64	192
64	206
65	66
65	69
65	77
65	80
65	81
65	102
65	113
65	117
65	126
65	131
65	230
65	252
66	67
66	82
66	83
66	98
66	114
66	147
67	68
67	72
67	83
67	84
67	96
67	99
67	115
67	116
67	131
67	144
67	149
67	255
68	69
68	71
68	83
68	84
68	100
68	124
68	156
69	70
69	84
69	85
69	101
69	182
69	255
70	71
70	72
70	86
70	104
71	72
71	76
71	87
71	88
71	90
71	215
71	235
72	73
72	87
72	88
72	102
72	104
72	120
72	168
72	187
72	248
73	74
73	79
73	89
73	90
73	105
73	106
73	140
73	199
73	249
74	75
74	76
74	82
74	83
74	90
74	120
75	76
75	78
75	91
75	143
76	77
76	78
76	79
76	88
76	90
76	91
76	92
76	96
76	108
76	109
76	111
76	112
76	122
76	124
76	129
76	135
76	139
76	147
76	156
76	204
76	252
77	78
77	92
77	93
77	95
77	108
77	127
77	132
78	79
78	93
78	94
78	95
78	143
79	95
80	81
80	95
80	96
80	97
80	124
81	82
81	83
81	97
81	117
81	143
81	159
81	223
82	83
82	84
82	89
82	98
82	99
82	101
82	130
82	173
82	224
83	84
83	86
83	89
83	97
83	98
83	99
83	100
83	103
83	113
83	114
83	119
83	128
83	129
83	132
83	150
83	160
83	246
84	85
84	99
84	100
84	130
84	165
84	226
85	86
85	87
85	88
85	96
85	101
86	87
86	102
86	120
86	130
86	153
86	171
86	182
86	245
87	88
87	103
87	105
87	120
87	150
87	247
88	89
88	90
88	104
89	90
89	94
89	105
89	106
89	121
89	122
89	138
89	157
89	195
89	229
90	91
90	105
90	106
90	110
90	116
90	123
90	126
90	138
90	141
90	248
91	92
91	94
91	107
91	189
92	93
92	108
93	94
93	105
93	108
93	109
94	95
94	100
94	110
94	111
94	120
94	123
94	129
94	156
94	158
95	111
95	126
95	127
95	162
95	254
96	97
96	98
96	110
96	111
96	112
96	114
96	115
96	128
96	134
96	248
97	98
97	113
97	130
97	131
98	99
98	113
98	114
98	115
98	160
98	211
99	100
99	108
